REF_AREA,TIME_PERIOD,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,war_nextYear
BEN,1997,8.842405769710954,-0.7495704614320072,0.14383697774259413,-2.167564477424939,0.3594436499854536,0.6047421820206657,-0.12229732701027421,2.117653413503954,-0.30091580427744935,0.2488163893908756,-0.35473668844502415,0.5437371501777218,0.7236630585640564,0.3241879505470274,-0.36056868731492364,-0.5983553392359412,0
BEN,1998,8.836767888555523,-0.7414801037877352,0.21401153454095925,-2.3273897273316115,0.3242804056584702,0.6151320797806755,-0.30595165310095435,1.9718071281156668,-0.0699327283511649,0.2129847763819029,-0.14803095631988242,0.5708361755307548,0.5213788507257316,0.3598909287699412,-0.3749136726502747,-0.4252131349159679,0
BEN,1999,8.816451756492285,-0.7122715609838386,0.38987017839453303,-2.3849013975542763,0.23491889745218286,0.6148623055689509,-0.3826152488998897,1.858730639793823,0.10520053162296922,0.363899611904516,-0.02261247023961915,0.49972676091762713,0.5277466887322377,0.3795892386636572,-0.21121786401815923,-0.3181953652185214,0
BEN,2000,8.737447139090225,-0.6802760607948071,0.6040562344076975,-2.3627426837873395,0.23128437194574766,0.6109878786280099,-0.45728938431159577,1.7242538186074843,0.22598487726418912,0.4024018687618359,0.06275355936888699,0.4203830621064506,0.536964839656068,0.39025600502862223,-0.09503284722767592,-0.2385702023751544,0
BEN,2001,8.64054234187687,-0.6496596261158455,0.8086990655895404,-2.2779573268805633,0.28729430102622644,0.602669980902964,-0.5006063062301733,1.5656158785645633,0.33183316474755997,0.36886256281055185,0.1160921563747812,0.3228109638404265,0.5451965517527811,0.3870789181400919,-0.01105690548775201,-0.1715297538159352,0
BEN,2005,8.107200798858939,-0.53722683769078,1.7267023916758177,-1.8665717572549534,0.5817770472580499,0.5326208553105015,-0.3548238463555616,0.9642204210346361,0.6063594826060777,0.4986167344667931,0.2326614915820631,-0.011365926235923649,0.70830081356039,0.3304357166007949,0.15745077916382674,-0.03603797615328207,0
BEN,2006,7.943838092189479,-0.5130692654714404,1.9708429138955474,-1.770496301256675,0.6285324613975788,0.5040594181576372,-0.2866353993596413,0.8913841258661095,0.597120474716562,0.5674950506059232,0.18599158785965442,-0.08470023802020335,0.780273289596301,0.30292589667332676,0.1667083475473612,-0.06909097158872497,0
BEN,2007,7.770075979466716,-0.4990616754888061,2.1925097553239574,-1.6855896935594459,0.6509573291532079,0.47118958087128193,-0.21651408095919858,0.8568249529508434,0.5965333531150352,0.5962685357880741,0.12475150660822198,-0.13724550066447175,0.7782570083481546,0.2873939806304915,0.12165929165811869,-0.18257906288495385,0
BEN,2008,7.606282758266281,-0.4901452975508631,2.370187491073475,-1.570204966292151,0.648103663064811,0.4376158572341334,-0.12892245406994787,0.8486973596368059,0.6110463162839883,0.5979050687848534,0.0557589544958516,-0.17139080788124833,0.7470258254681176,0.28924313974910354,0.054591309396181904,-0.31169909483540525,0
BEN,2009,7.450293308949385,-0.48358905681963893,2.5120806721299123,-1.4466811076885435,0.6496713967260298,0.4024356946255865,-0.053718131646960175,0.8344667846918785,0.6149986094645811,0.5308541323259954,-0.037362468385087125,-0.218489711261869,0.6947003185869934,0.2821152618647123,-0.010940229744420549,-0.4082628391410024,0
BEN,2010,7.284152323101312,-0.4777653562870686,2.646145357735112,-1.3239493768086716,0.6285161875835671,0.3632973449980549,0.034421092997579665,0.8133149397928833,0.65984932521327,0.528794070665588,-0.06433873990596274,-0.2068750768474026,0.6201753586251351,0.2915684704874925,-0.06793140992656967,-0.4826994333291992,0
BFA,1963,6.846278749513621,-0.7994172904323149,-4.436983091934803,8.788642397910687,0.3799697470208624,-0.3735789656899601,0.6419387815046951,-4.352123086770944,-1.2427175814356628,-0.38216297382741765,0.588650772105852,0.012568494330937957,-0.924115095885592,-0.2887183884137714,0.03701950206446256,0.9676547750033974,0
BFA,1964,6.85105775074787,-0.8512527068396141,-4.611035666860304,8.502100400629358,0.47021559024573534,-0.36616292447752086,0.7669240569360579,-4.138902241586151,-1.329738141798386,-0.1832520716017293,0.396878001561185,-0.0010130841168174043,-0.8725021183002756,-0.3253532953636586,-0.0097222041655743,0.9201821547793437,0
BFA,1965,6.894126598345315,-0.9015846527557929,-4.792161697815991,8.193265735543541,0.48087594090021274,-0.3652085207506526,0.891151227363341,-3.8374632738438303,-1.4371891448467264,0.021338578706534963,0.19592377979998238,0.008286509335237923,-0.8471303989851418,-0.35984791252427073,-0.09144793756386872,0.8477781728581696,0
BFA,1966,6.969391899351806,-0.946507398132774,-4.976960465779511,7.866908517401042,0.43903971803563996,-0.3651488870080356,0.9936755928156372,-3.473450588544232,-1.5616764941908035,0.21035860365943435,0.00923273612600292,0.05599426044752327,-0.8334636648006473,-0.38640629087270395,-0.18924869616982473,0.7556803886144914,0
BFA,1967,7.060184416866724,-0.9881764220752967,-5.150875232979771,7.528476020807819,0.3714818637533875,-0.36387835938754104,1.0727433834416584,-3.0740739965930524,-1.6829835444013348,0.3748760234582344,-0.15392078200691026,0.12089079019610405,-0.8417543502281297,-0.402492744125119,-0.28709834160293773,0.6528948505960177,0
BFA,1968,7.155991358464809,-1.0279852577738824,-5.319280398491981,7.175749905766722,0.28670841657471663,-0.3565579053616975,1.095560370280018,-2.654762511224514,-1.7898876342781418,0.495834034644973,-0.28691269677571124,0.19145022433356249,-0.8834741757710883,-0.40988914115378383,-0.3781902173522677,0.559629937518579,0
BFA,1969,7.266132144155599,-1.0705455528191612,-5.512036788766139,6.805931273748472,0.17965396880422985,-0.33930937461997185,1.0357524497112247,-2.227396781141535,-1.852202275041631,0.5420127003696626,-0.3860065823277776,0.24518733497243414,-0.9801831553519322,-0.4103880263654439,-0.4551494024946948,0.4833060564141768,0
BFA,1970,7.372596707734562,-1.111139485928539,-5.685764202456247,6.378498160927293,0.08172042012819404,-0.3096504812384098,0.9032069332166724,-1.8183463595125808,-1.86516258424221,0.525273806278634,-0.4291700030112424,0.2559822531617006,-1.0918623361139728,-0.4016952364244319,-0.503504598786798,0.4170823488310773,0
BFA,1971,7.487255069136526,-1.1506000976752966,-5.869899661021732,5.933860222154788,-0.008499658354797249,-0.26896638040492704,0.7021484187053093,-1.442976837195126,-1.8456678325143532,0.4421622839501871,-0.43907703807351284,0.24304393804023947,-1.212911373921296,-0.38690815674793105,-0.5220635415374222,0.38238005314852264,0
BFA,1972,7.599766238845147,-1.1874585821870896,-6.032297233973111,5.4653220622032705,-0.0794915329987725,-0.2208478584866643,0.46958143709229944,-1.0989721973934483,-1.802007461095072,0.3367564302837968,-0.4179827760922077,0.19778483931776233,-1.3287625428063308,-0.37096053121626815,-0.5227969768663859,0.3782372742041926,0
